disease,category,n_cases,n_non_ret,non_ret_rate,hpoa_annotations
Developmental and epileptic encephalopathy 112,Epilepsy / Neurological,24,0,0.0,27
"Ehlers-Danlos syndrome, spondylodysplastic type, 2",Marfan / Connective tissue,4,0,0.0,50
"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures",Skeletal dysplasia,7,0,0.0,76
"Congenital heart defects, multiple types, 8, with or without heterotaxy",Other,5,0,0.0,44
Orofaciodigital syndrome V,Other,8,0,0.0,46
"Neuronopathy, distal hereditary motor, autosomal recessive 10",Other,8,0,0.0,24
Neurodevelopmental disorder with epilepsy and hemochromatosis,Intellectual disability,6,0,0.0,45
Boucher-Neuhauser syndrome,Other,10,0,0.0,32
"Spinocerebellar ataxia, autosomal recessive 12",Epilepsy / Neurological,6,0,0.0,19
Centronuclear myopathy 1,Muscular dystrophy / Myopathy,4,0,0.0,31
Donohue syndrome,Other,3,0,0.0,52
Greig cephalopolysyndactyly syndrome,Other,43,0,0.0,51
Pallister-Hall syndrome,Other,20,0,0.0,68
Cleidocranial dysplasia,Other,8,0,0.0,56
"Corneal dystrophy, Fuchs endothelial, 4",Other,3,0,0.0,3
Acromelic frontonasal dysostosis,Skeletal dysplasia,9,0,0.0,55
Immunodeficiency 112,Immunodeficiency,3,0,0.0,17
Oliver-McFarlane syndrome,Liver / Hepatic,7,0,0.0,39
Thrombocytopenia 3,Other,7,0,0.0,13
"Spastic paraplegia 93, autosomal recessive",Other,21,0,0.0,43
Pseudohypoparathyroidism Ia,Endocrine / Hormonal,65,0,0.0,30
Pseudopseudohypoparathyroidism,Endocrine / Hormonal,8,0,0.0,17
CODAS syndrome,Other,8,0,0.0,64
"Robinow syndrome, autosomal dominant 2",Other,16,0,0.0,70
"Intellectual developmental disorder, autosomal recessive 18, with or without epilepsy",Intellectual disability,3,0,0.0,22
"Glaucoma 1, open angle, H",Other,5,0,0.0,6
Loeys-Dietz syndrome 6,Marfan / Connective tissue,17,0,0.0,49
"Diarrhea 8, secretory sodium, congenital",Other,7,0,0.0,13
Noonan syndrome 6,Rasopathy / RAS pathway,14,0,0.0,47
"Homocystinuria, B6-responsive and nonresponsive types",Other,4,0,0.0,47
"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",Cardiomyopathy / Arrhythmia,15,0,0.0,57
"Congenital disorder of glycosylation, type Iip",Other,7,0,0.0,19
Retinitis pigmentosa 76,Vision / Retinal,4,0,0.0,8
"Osteogenesis imperfecta, type XIV",Skeletal dysplasia,3,0,0.0,19
"Parkinson disease 23, autosomal recessive, early onset",Other,4,0,0.0,27
"Cutis laxa, autosomal recessive, type IIC",Other,6,0,0.0,63
"Hypotonia, infantile, with psychomotor retardation and characteristic facies 3",Other,41,0,0.0,114
Neurodevelopmental disorder with early-onset parkinsonism and behavioral abnormalities,Intellectual disability,7,0,0.0,30
"Spastic paraplegia 76, autosomal recessive",Other,14,0,0.0,29
"Microcephaly 5, primary, autosomal recessive",Other,20,0,0.0,30
Ataxia-pancytopenia syndrome,Epilepsy / Neurological,20,0,0.0,19
"Lipodystrophy, familial partial, type 8",Other,3,0,0.0,12
"Tubulointerstitial kidney disease, autosomal dominant, 5",Other,7,0,0.0,40
"Leukoencephalopathy, porphyria-related",Other,4,0,0.0,14
"Glutaricaciduria, type I",Other,7,0,0.0,36
Diamond-Blackfan anemia 1,Other,9,0,0.0,55
Chitayat syndrome,Other,6,0,0.0,35
"Muscular dystrophy, limb-girdle, autosomal recessive 21",Muscular dystrophy / Myopathy,4,0,0.0,12
"Arthrogryposis, distal, with impaired proprioception and touch",Other,10,0,0.0,33
"Ventricular tachycardia, catecholaminergic polymorphic, 3",Other,3,0,0.0,12
Intellectual developmental disorder with dysmorphic facies and ptosis,Intellectual disability,10,0,0.0,35
"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies",Intellectual disability,14,0,0.0,64
"Leukodystrophy, hypomyelinating, 27",Other,4,0,0.0,38
"Cutis laxa, autosomal recessive, type IID",Other,3,0,0.0,45
Arrhythmogenic cardiomyopathy with variable ectodermal abnormalities,Cardiomyopathy / Arrhythmia,12,0,0.0,31
Immunoskeletal dysplasia with neurodevelopmental abnormalitie,Skeletal dysplasia,13,0,0.0,84
Retinitis pigmentosa 78,Vision / Retinal,3,0,0.0,6
Polymicrogyria with or without vascular-type EDS,Other,6,0,0.0,41
Retinitis pigmentosa with or without skeletal anomalies,Skeletal dysplasia,8,0,0.0,46
Noonan syndrome-11,Rasopathy / RAS pathway,3,0,0.0,24
Structural heart defects and renal anomalies syndrome,Renal / Nephrotic,8,0,0.0,23
"Nephrotic syndrome, type 1",Renal / Nephrotic,3,0,0.0,22
Hoxha-Aliu syndrome,Other,5,0,0.0,64
